pab1_pap	pab2_pap	pab3_pap	pab4_pap	pab5_pap	pab6_pap	pab7_pap	pab8_pap	pab9_pap	pab10_pap	pab11_pab	pab11_pap	pab12_pap	pab12_pab	pab13_pab	pab13_pap	pab14_pab	pab14_pap	pab15_pap	pab15_pab	pab16_pab	pab16_pap	pab17_pab	pab17_pap	pab18_pap	pab18_pab	pab19_pab	pab19_pap	pab20_pap	pab20_pab	pab21_pab	pab22_pab	pab23_pab	pab24_pab	pab25_pab	pab26_pab	pab27_pab	pab28_pab	pab29_pab	pab30_pab	a_a
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10	10.1	9.9	10.0	9.8	10.1	10.0	9.9	10.0	9.9	9.600000000000001	10.299999999999999	10.599999999999998	9.300000000000002	9.500000000000002	10.399999999999999	9.9	10.0	10.1	9.8	9.8	10.1	10	10.299999999999999	10.299999999999999	10.1	10.2	10.2	10.2	10.2	10.1	10.1	10.0
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10	10.1	9.8	10.1	10.1	9.8	10.1	9.8	10.0	9.9	10.0	9.9	10.2	9.700000000000001	10.0	9.9	10.1	9.8	9.600000000000001	10.299999999999999	9.700000000000001	10.2	10	10.299999999999999	10.299999999999999	10.1	10.2	10.2	10.2	10.2	10.1	10.1	10.0
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10	10.1	10.2	9.700000000000001	10.399999999999999	9.500000000000002	9.9	10.0	9.9	10.0	10.0	9.9	9.500000000000002	10.399999999999999	10.2	9.700000000000001	10.1	9.8	10.299999999999999	9.600000000000001	9.9	10.0	10	10.299999999999999	10.299999999999999	10.1	10.2	10.2	10.2	10.2	10.1	10.1	10.0
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10	10.1	9.9	10.0	10.0	9.9	9.9	10.0	9.500000000000002	10.399999999999999	10.0	9.9	9.700000000000001	10.2	9.8	10.1	10.0	9.9	10.1	9.8	9.700000000000001	10.2	10	10.299999999999999	10.299999999999999	10.1	10.2	10.2	10.2	10.2	10.1	10.1	10.0
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10	10.1	9.700000000000001	10.2	10.2	9.700000000000001	9.700000000000001	10.2	10.1	9.8	9.700000000000001	10.2	9.700000000000001	10.2	9.9	10.0	9.600000000000001	10.299999999999999	10.1	9.8	9.9	10.0	10	10.299999999999999	10.299999999999999	10.1	10.2	10.2	10.2	10.2	10.1	10.2	10.0
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10	10.1	9.9	10.0	9.8	10.1	9.9	10.0	9.8	10.1	10.0	9.9	10.1	9.8	10.0	9.9	10.1	9.8	9.8	10.1	9.8	10.1	10	10.299999999999999	10.299999999999999	10.1	10.2	10.2	10.2	10.2	10.1	10.2	10.0
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10	10.1	9.9	10.0	9.9	10.0	10.0	9.9	10.1	9.8	9.700000000000001	10.2	10.2	9.700000000000001	9.700000000000001	10.2	10.299999999999999	9.600000000000001	9.700000000000001	10.2	10.2	9.700000000000001	10	10.299999999999999	10.299999999999999	10.1	10.2	10.2	10.2	10.2	10.1	10.2	10.0
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10	10.1	9.9	10.0	9.9	10.0	9.8	10.1	9.700000000000001	10.2	9.9	10.0	9.9	10.0	10.0	9.9	9.400000000000002	10.499999999999998	10.0	9.9	10.0	9.9	10	10.299999999999999	10.299999999999999	10.1	10.2	10.2	10.2	10.2	10.1	10.2	10.0
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10	10.1	10.2	9.700000000000001	9.8	10.1	9.700000000000001	10.2	9.400000000000002	10.499999999999998	10.0	9.9	10.0	9.9	9.9	10.0	9.700000000000001	10.2	10.399999999999999	9.500000000000002	9.9	10.0	10	10.299999999999999	10.299999999999999	10.1	10.2	10.2	10.2	10.2	10.1	10.2	10.0
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10	10.1	10.0	9.9	10.0	9.9	10.299999999999999	9.600000000000001	10.0	9.9	9.9	10.0	9.700000000000001	10.2	9.700000000000001	10.2	9.9	10.0	9.700000000000001	10.2	10.2	9.700000000000001	10	10.299999999999999	10.299999999999999	10.2	10.2	10.2	10.2	10.2	10.1	10.2	10.0
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10	10.1	9.9	10.0	10.2	9.700000000000001	10.0	9.9	10.1	9.8	9.9	10.0	9.8	10.1	9.9	10.0	10.0	9.9	9.600000000000001	10.299999999999999	10.1	9.8	10	10.299999999999999	10.299999999999999	10.2	10.2	10.2	10.2	10.2	10.1	10.2	10.0
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10	10.1	9.9	10.0	10.1	9.8	10.0	9.9	10.1	9.8	10.1	9.8	9.600000000000001	10.299999999999999	9.9	10.0	10.1	9.8	10.1	9.8	9.600000000000001	10.299999999999999	10	10.299999999999999	10.299999999999999	10.2	10.2	10.2	10.2	10.2	10.1	10.2	10.0
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10	10.1	9.8	10.1	10.0	9.9	9.700000000000001	10.2	9.500000000000002	10.399999999999999	9.700000000000001	10.2	9.9	10.0	9.700000000000001	10.2	10.1	9.8	9.9	10.0	9.9	10.0	10	10.299999999999999	10.299999999999999	10.2	10.2	10.2	10.2	10.2	10.1	10.2	10.0
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10	10.1	9.600000000000001	10.299999999999999	10.399999999999999	9.500000000000002	9.8	10.1	10.1	9.8	10.1	9.8	10.1	9.8	9.9	10.0	10.2	9.700000000000001	9.8	10.1	9.9	10.0	10	10.299999999999999	10.299999999999999	10.2	10.2	10.2	10.2	10.2	10.1	10.2	10.0
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10	10.1	9.8	10.1	10.299999999999999	9.600000000000001	9.9	10.0	10.2	9.700000000000001	9.8	10.1	10.1	9.8	9.8	10.1	10.0	9.9	9.600000000000001	10.299999999999999	9.700000000000001	10.2	10	10.299999999999999	10.299999999999999	10.2	10.2	10.2	10.2	10.2	10.1	10.2	10.0
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10	10.1	10.1	9.8	9.600000000000001	10.299999999999999	9.8	10.1	9.300000000000002	10.599999999999998	10.599999999999998	9.300000000000002	10.1	9.8	9.9	10.0	10.0	9.9	10.1	9.8	9.600000000000001	10.299999999999999	10	10.299999999999999	10.299999999999999	10.2	10.2	10.2	10.2	10.2	10.1	10.2	10.0
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10.1	10.1	9.500000000000002	10.399999999999999	10.0	9.9	9.8	10.1	9.500000000000002	10.399999999999999	10.2	9.700000000000001	10.0	9.9	10.2	9.700000000000001	10.399999999999999	9.500000000000002	9.8	10.1	9.8	10.1	10	10.299999999999999	10.299999999999999	10.2	10.2	10.2	10.2	10.2	10.1	10.2	10.0
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10.1	10.1	10.1	9.8	10.0	9.9	10.1	9.8	10.2	9.700000000000001	9.9	10.0	9.600000000000001	10.299999999999999	9.9	10.0	9.9	10.0	10.2	9.700000000000001	10.299999999999999	9.600000000000001	10	10.299999999999999	10.299999999999999	10.2	10.2	10.2	10.2	10.2	10.1	10.2	10.0
10.1	10.1	10	10.1	10.1	10	10	10.499999999999998	10.1	10.1	9.700000000000001	10.2	9.700000000000001	10.2	10.0	9.9	9.400000000000002	10.499999999999998	10.1	9.8	10.0	9.9	10.1	9.8	10.2	9.700000000000001	10.1	9.8	9.9	10.0	10	10.299999999999999	10.299999999999999	10.2	10.2	10.2	10.2	10.2	10.1	10.2	10.0
